Big trees,,2014-04-03,,,,,,,,,,,,,
,largest DBH of species in orange,,,,,,,,,,,,,,
ID,species,latitude,longitude,dbh (cm),dia. (in.),date measured,est. height (m),est. height (ft.),est. ave. crown spread (m),est. ave. crown spread (ft.),date measured,"""points""",Notes:,GUID (if assigned),
1-46,Quercus rubra,36.142975,-86.799812,86,33.9,2014-03-29,,0,,0,,0,south Susan Gray playground,none,
1-731,Magnolia grandiflora,36.142821,-86.798295,86,33.9,2014-03-27,,0,,0,,0,southeastern magnolia in Magnolia Lawn along Magnolia Circle,none,
1-530,Quercus phellos,36.140455,-86.798717,85,33.5,2014-03-28,,0,,0,,0,north of Wyatt Center on east side of Esplanade,none,
2-482,Magnolia grandiflora,36.146942,-86.801243,85,33.5,2014-03-27,,0,,0,,0,northwest of Bishop McTyeire's tomb; trunk splits just above measured height,none,
1-1278,Ulmus pumila,36.141778,-86.7997,83,32.7,2014-04-03,,0,,0,,0,south of south entrance to semicircular drive in front of Peabody Admin bldg.,none,
1-233,Ulmus americana,36.143249,-86.797911,83,32.7,2014-03-29,,0,,0,,0,east side Magnolia Lawn,none,
1-126,Liriodendron tulipifera,36.143545,-86.797843,83,32.7,2014-03-29,,0,,0,,0,east side Magnolia Lawn.  note: this is the one mentioned in the Peabody online tree tour.,none,
4-1167,Magnolia grandiflora,36.144216,-86.802559,83,32.7,2014-04-03,,0,,0,,0,between Old Number 7 and the physics building,none,
2-805,Platanus occidentalis,36.147499,-86.7995,82,32.3,2014-03-27,,0,,0,,0,east of the entrance off 21st Ave.S. across from Grand Avenue,none,
1-953,Quercus rubra,36.143657,-86.798911,81.5,32.1,2014-03-27,,0,,0,,0,northwest corner of Magnolia Lawn across from Susan Gray playground,none,
2-233,Ulmus americana,36.146897,-86.800965,79,31.1,2014-03-27,,0,,0,,0,north of Divinity School,none,
3-99,Fraxinus pennsylvanica,36.145787,-86.80696,74,29.1,2014-03-29,,0,,0,,0,Between Phi Delta Theta and Zeta Beta Tau houses,none,
2-865,Magnolia grandiflora,36.147546,-86.802179,70,27.6,2014-04-03,,0,,0,,0,north of Benson Hall; by Margaret Branscomb statue,none,
1-454,Magnolia grandiflora,36.142907,-86.798353,62.5,24.6,2014-03-27,,0,,0,,0,northeastern magnolia in Magnolia Lawn along Magnolia Circle; another stem is 42.5 cm DBH,none,
2-845,Zelkova serrata,36.146959,-86.800607,60,23.6,2014-04-01,,0,,0,,0,west of the Owen School; state champion tree; planted by Bishop McTyeire,http://bioimages.vanderbilt.edu/vanderbilt/4-145,
4-474,Aesculus glabra,36.143747,-86.802759,54.5,21.5,2014-04-02,,0,,0,,0,between McTyeire and the Round Wing; former state champion,http://bioimages.vanderbilt.edu/vanderbilt/11-210,
1-81,Aesculus flava,36.141719,-86.799673,51,20.1,2014-04-03,,0,,0,,0,south of semicircular drive in front of Peabody Admin bldg,http://bioimages.vanderbilt.edu/vanderbilt/12-53,
3-48,Acer saccharinum,36.146721,-86.806878,47,18.5,2014-04-03,,0,,0,,0,northwest of Pi Beta Phi house,none,
2-70,Magnolia virginiana,36.148018,-86.802554,34,13.4,2014-04-02,,0,,0,,0,"against the south wall of Kirkland, on the right; former state champion",http://bioimages.vanderbilt.edu/vanderbilt/2-43,
